governorate,year,production,surface,yield,Temperature_C,Precipitation_mm,Soil_Moisture_Vol,Precipitation_CHIRPS,Autumn,Spring,Summer,Winter,ndvi_imputed_flag,production_lag1,production_lag2,production_lag3,prod_roll2_mean,prod_roll3_mean,prod_growth_lag1,surface_lag1,surface_change_ratio,ndvi_peak,ndvi_min,ndvi_amplitude,ndvi_spring_summer_diff,ndvi_winter_spring_diff,ndvi_mean,rain_temp_interaction,chirps_temp_interaction,moisture_temp_interaction,year_index,is_small_producer
sfax,2013,310000.0,312000.0,0.9936,19.685577,622.99036,0.06852724,304.15,0.2121092866767737,0.1520980370584026,0.1458437991352322,0.1815647526600246,0,170000.0,70000.0,110000.0,120000.0,116666.66666666667,2.4285714285714284,310000.0,1.0064516129032257,0.2121092866767737,0.1458437991352322,0.06626548754154149,0.006254237923170397,0.02946671560162198,0.17290396888260828,12263.924702037719,5987.368244549999,1.3489982596174799,7,0
sfax,2014,23400.0,313200.0,0.0747,20.042816,477.66696,0.070725106,227.53737,0.1730930472224697,0.2071547990180415,0.1681658824158175,0.2100107571735379,0,310000.0,170000.0,70000.0,240000.0,183333.33333333334,1.8235294117647058,312000.0,1.0038461538461538,0.2100107571735379,0.1681658824158175,0.04184487475772039,0.038988916602224005,0.0028559581554963853,0.18960612145746664,9573.79098855936,4560.489640033919,1.4175302861384957,8,0
sfax,2015,522000.0,313200.0,1.6667,19.705536,597.8823,0.074903674,192.41805,0.1741772355883274,0.1885758720430638,0.1586398671225846,0.1836388819941111,0,23400.0,310000.0,170000.0,166700.0,167800.0,0.07548387096774194,313200.0,1.0,0.1885758720430638,0.1586398671225846,0.02993600492047921,0.02993600492047921,-0.004936990048952705,0.17625796418702175,11781.5911864128,3791.7008113248,1.476017044539264,9,1
sfax,2016,69500.0,313500.0,0.2217,20.347229,638.4529,0.078358546,266.9228,0.1942795731312939,0.1520991516480033,0.14430093051409,0.1880455150684871,0,522000.0,23400.0,310000.0,272700.0,285133.3333333333,22.307692307692307,313200.0,1.0009578544061302,0.1942795731312939,0.14430093051409,0.04997864261720392,0.007798221133913319,0.035946363420483796,0.16968129259046857,12990.747362014099,5431.139336921199,1.594379279569034,10,0
sfax,2017,56000.0,315500.0,0.1775,19.562897,394.16318,0.071555905,174.69244,0.1793375097052792,0.1958306979072279,0.1639292863244831,0.2148286206899222,0,69500.0,522000.0,23400.0,295750.0,204966.66666666666,0.1331417624521073,313500.0,1.0063795853269537,0.2148286206899222,0.1639292863244831,0.050899334365439114,0.031901411582744815,0.0189979227826943,0.1884815286567281,7710.97369153246,3417.49021039868,1.399840799256785,11,0
sfax,2018,343500.0,315500.0,1.0887,19.989594,628.0289,0.06963572,227.10828,0.1910342956356858,0.1693168584330096,0.1591883566593947,0.1871723216968384,0,56000.0,69500.0,522000.0,62750.0,215833.33333333334,0.8057553956834532,315500.0,1.0,0.1910342956356858,0.1591883566593947,0.031845938976291094,0.010128501773614879,0.017855463263828808,0.1766779581062321,12554.0427312666,4539.80231123832,1.39198977069768,12,0
sfax,2019,3000.0,315500.0,0.0095,19.822083,596.25525,0.07307478,254.14,0.1995267846306105,0.1807230838301472,0.1595793390048082,0.1931824003797244,0,343500.0,56000.0,69500.0,199750.0,156333.33333333334,6.133928571428571,315500.0,1.0,0.1995267846306105,0.1595793390048082,0.0399474456258023,0.02114374482533901,0.012459316549577187,0.18325290196132257,11819.02105468575,5037.584173619999,1.4484943543667401,13,0
sfax,2020,2100.0,315500.0,0.0067,20.052856,616.41797,0.07620063,271.37408,0.2151892423153816,0.1856806446644744,0.1612860382105482,0.2203549956387107,0,3000.0,343500.0,56000.0,173250.0,134166.66666666666,0.008733624454148471,315500.0,1.0,0.2203549956387107,0.1612860382105482,0.05906895742816248,0.024394606453926188,0.034674350974236295,0.19562773020727872,12360.940788222319,5441.825348372479,1.52804026049928,14,1
sfax,2021,3600.0,315500.0,0.0114,20.499512,267.28815,0.052376304,132.14357,0.162453194885486,0.1776815442856972,0.1597907555051802,0.1935142603757254,0,2100.0,3000.0,343500.0,2550.0,116200.0,0.7,315500.0,1.0,0.1935142603757254,0.1597907555051802,0.03372350487054518,0.017890788780517003,0.015832716090028176,0.17335993876302222,5479.276638382799,2708.87869893784,1.0736886723636478,15,1
sfax,2022,2200.0,315500.0,0.007,20.868286,255.94595,0.055308633,154.3815,0.1645163254912019,0.1705661661115356,0.158159755618569,0.1723634940229641,0,3600.0,2100.0,3000.0,2850.0,2900.0,1.7142857142857142,315500.0,1.0,0.1723634940229641,0.158159755618569,0.014203738404395122,0.012406410492966619,0.0017973279114285035,0.16640143531106766,5341.1532851417005,3221.677295109,1.1541963717130381,16,1
